vars,sitename,X,Y
SAL,DWER_CSMWQ_6142982_Integrated_2120,115.682120,-32.157758
SAL,DWER_CSMWQ_6142983_Fixed_2138,115.712531,-32.248232
SAL,DWER_CSMWQ_6142983_Floating_2139,115.712531,-32.248232
SAL,DWER_CSMWQ_6142983_Integrated_2140,115.712531,-32.248232
SAL,DWER_CSMWQ_6142983_Profile_2141,115.712531,-32.248232
SAL,DWER_CSMWQ_6142984_Fixed_2173,115.739090,-32.182803
SAL,DWER_CSMWQ_6142984_Floating_2174,115.739090,-32.182803
SAL,DWER_CSMWQ_6142984_Integrated_2175,115.739090,-32.182803
SAL,DWER_CSMWQ_6142984_Profile_2176,115.739090,-32.182803
SAL,DWER_CSMWQ_6142985_Fixed_2207,115.708785,-32.308838
SAL,DWER_CSMWQ_6142985_Floating_2208,115.708785,-32.308838
SAL,DWER_CSMWQ_6142985_Integrated_2209,115.708785,-32.308838
SAL,DWER_CSMWQ_6142985_Profile_2210,115.708785,-32.308838
SAL,DWER_CSMWQ_6142986_Fixed_2256,115.722167,-32.336946
SAL,DWER_CSMWQ_6142986_Floating_2257,115.722167,-32.336946
SAL,DWER_CSMWQ_6142986_Integrated_2258,115.722167,-32.336946
SAL,DWER_CSMWQ_6142986_Profile_2259,115.722167,-32.336946
SAL,DWER_CSMWQ_6142987_Fixed_2298,115.740167,-32.254698
SAL,DWER_CSMWQ_6142987_Floating_2299,115.740167,-32.254698
SAL,DWER_CSMWQ_6142987_Integrated_2300,115.740167,-32.254698
SAL,DWER_CSMWQ_6142987_Profile_2301,115.740167,-32.254698
SAL,DWER_CSMWQ_6142988_Fixed_2334,115.696612,-32.215297
SAL,DWER_CSMWQ_6142988_Floating_2335,115.696612,-32.215297
SAL,DWER_CSMWQ_6142988_Integrated_2336,115.696612,-32.215297
SAL,DWER_CSMWQ_6142988_Profile_2337,115.696612,-32.215297
SAL,DWER_CSMWQ_6142989_Fixed_2375,115.684831,-32.198595
SAL,DWER_CSMWQ_6142989_Floating_2376,115.684831,-32.198595
SAL,DWER_CSMWQ_6142989_Integrated_2377,115.684831,-32.198595
SAL,DWER_CSMWQ_6142989_Profile_2378,115.684831,-32.198595
SAL,DWER_CSMWQ_6142990_Fixed_2410,115.652974,-32.139401
SAL,DWER_CSMWQ_6142990_Floating_2411,115.652974,-32.139401
SAL,DWER_CSMWQ_6142990_Integrated_2412,115.652974,-32.139401
SAL,DWER_CSMWQ_6142990_Profile_2413,115.652974,-32.139401
SAL,DWER_CSMWQ_6144401_Fixed_2439,115.728321,-32.250809
SAL,DWER_CSMWQ_6144401_Floating_2440,115.728321,-32.250809
SAL,DWER_CSMWQ_6144466_Fixed_2468,115.765882,-32.197784
SAL,DWER_CSMWQ_6144466_Floating_2469,115.765882,-32.197784
SAL,DWER_CSMWQ_6144466_Profile_2470,115.765882,-32.197784
SAL,DWER_CSMWQ_6147030_Profile_2496,115.702740,-32.156587
SAL,DWER_CSMWQ_6147031_Profile_2516,115.728332,-32.250787
SAL,DWER_CSMWQ_6147034_Profile_2534,115.714189,-32.262388
SAL,DWER_CSMWQ_6147035_Profile_2550,115.740665,-32.200106
SAL,DWER_PHESTREACH_6131321_Profile_2584,115.677035,-32.683243
SAL,DWER_PHESTREACH_6131322_Profile_2601,115.694901,-32.730063
SAL,DWER_PHESTREACH_6131323_Profile_2618,115.660907,-32.633273
SAL,DWER_PHESTREACH_6140029_Profile_2635,115.671387,-32.603628
SAL,DWER_PHESTREACH_6140030_Profile_2652,115.754871,-32.575745
SAL,DWER_PHESTREACH_6140031_Profile_2669,115.713254,-32.591805
SAL,DWER_PHESTREACH_6140953_Profile_2680,115.821421,-32.592114
SAL,DWER_PHESTREACH_6142623_Integrated_2708,115.882040,-32.585137
SAL,DWER_PHESTREACH_6142623_Profile_2709,115.882040,-32.585137
SAL,DWER_PHESTREACH_6142624_Profile_2729,115.787282,-32.581407
SAL,DWER_PHESTREACH_6142625_Profile_2747,115.827008,-32.585905
SAL,DWER_PHESTREACH_6142627_Profile_2764,115.767970,-32.543329
SAL,DWER_PHESTREACH_6142628_Profile_2781,115.786308,-32.510069
SAL,DWER_PHESTREACH_6142629_Integrated_2800,115.808025,-32.471222
SAL,DWER_PHESTREACH_6142629_Profile_2801,115.808025,-32.471222
SAL,DWER_PHESTREACH_6142855_Profile_2822,115.834139,-32.585856
SAL,DWER_PHESTREACH_6143035_Profile_2838,115.831000,-32.399000
SAL,DWER_PHESTREACH_6143036_Profile_2854,115.831000,-32.399500
SAL,DWER_SWANCATCH_6162925_Profile_2925,116.017298,-31.876150
SAL,DWER_SWANCATCH_6164314_Profile_2941,116.003947,-31.789477
SAL,DWER_SWANCATCH_6164462_Profile_2957,115.919732,-31.949031
SAL,DWER_SWANEST_6160118_Profile_2979,115.992278,-31.878075
SAL,DWER_SWANEST_6160119_Profile_3005,115.998983,-31.868417
