Site,Date,TSS
MB,17/12/2012,
MB,24/12/2012,
MB,7/01/2013,
MB,13/01/2013,
MB,21/01/2013,
MB,30/01/2013,
MB,4/02/2013,2.1
MB,11/02/2013,1.4
MB,18/02/2013,2.3
MB,25/02/2013,2.2
MB,4/03/2013,1.9
MB,11/03/2013,1.9
MB,18/03/2013,1.9
MB,25/03/2013,2.4
NH3,3/12/2012,
NH3,10/12/2012,
NH3,17/12/2012,
NH3,24/12/2012,
NH3,7/01/2013,
NH3,13/01/2013,
NH3,21/01/2013,
NH3,30/01/2013,
NH3,4/02/2013,
NH3,11/02/2013,
NH3,18/02/2013,
NH3,25/02/2013,
NH3,4/03/2013,
NH3,11/03/2013,
NH3,18/03/2013,
NH3,25/03/2013,
WSS4,3/12/2012,
WSS4,10/12/2012,
WSS4,17/12/2012,
WSS4,24/12/2012,
WSS4,7/01/2013,
WSS4,13/01/2013,
WSS4,22/01/2013,
WSS4,30/01/2013,
WSS4,4/02/2013,3.2
WSS4,11/02/2013,2.0
WSS4,18/02/2013,2.1
WSS4,25/02/2013,2.1
WSS4,4/03/2013,1.8
WSS4,11/03/2013,1.6
WSS4,18/03/2013,1.7
WSS4,25/03/2013,1.5
WSS4-Bot,3/12/2012,
WSS4-Bot,10/12/2012,
WSS4-Bot,17/12/2012,
WSS4-Bot,24/12/2012,
WSS4-Bot,7/01/2013,
WSS4-Bot,13/01/2013,
WSS4-Bot,22/01/2013,
WSS4-Bot,30/01/2013,
WSS4-Bot,4/02/2013,
WSS4-Bot,11/02/2013,
WSS4-Bot,18/02/2013,
WSS4-Bot,25/02/2013,
WSS4-Bot,4/03/2013,
WSS4-Bot,11/03/2013,
WSS4-Bot,18/03/2013,
WSS4-Bot,25/03/2013,
WSS4-Top,3/12/2012,
WSS4-Top,10/12/2012,
WSS4-Top,17/12/2012,
WSS4-Top,24/12/2012,
WSS4-Top,7/01/2013,
WSS4-Top,13/01/2013,
WSS4-Top,22/01/2013,
WSS4-Top,30/01/2013,
