Site,Date,TSS
CSCB,23/03/2015,
CSG1,4/12/2014,
CSG1,8/12/2014,
CSG1,15/12/2014,
CSG1,22/12/2014,
CSG1,5/01/2015,
CSG1,12/01/2015,
CSG1,19/01/2015,
CSG1,27/01/2015,
CSG1,2/02/2015,
CSG1,16/02/2015,
CSG1,23/02/2015,
CSG1,2/03/2015,
CSG1,9/03/2015,
CSG1,16/03/2015,
CSG1,23/03/2015,
CSG2,4/12/2014,
CSG2,8/12/2014,
CSG2,15/12/2014,
CSG2,22/12/2014,
CSG2,5/01/2015,
CSG2,12/01/2015,
CSG2,19/01/2015,
CSG2,27/01/2015,
CSG2,2/02/2015,
CSG2,9/02/2015,
CSG2,16/02/2015,
CSG2,23/02/2015,
CSG2,2/03/2015,
CSG2,9/03/2015,
CSG2,16/03/2015,
CSG2,23/03/2015,
CSG3,4/12/2014,
CSG3,8/12/2014,
CSG3,15/12/2014,
CSG3,22/12/2014,
CSG3,5/01/2015,
CSG3,12/01/2015,
CSG3,19/01/2015,
CSG3,27/01/2015,
CSG3,2/02/2015,
CSG3,9/02/2015,
CSG3,16/02/2015,
CSG3,23/02/2015,
CSG3,2/03/2015,
CSG3,9/03/2015,
CSG3,16/03/2015,
CSG3,23/03/2015,
CSSF,4/12/2014,
CSSF,8/12/2014,
CSSF,15/12/2014,
CSSF,22/12/2014,
CSSF,5/01/2015,
CSSF,12/01/2015,
CSSF,19/01/2015,
CSSF,27/01/2015,
CSSF,2/02/2015,
CSSF,9/02/2015,
CSSF,16/02/2015,
CSSF,23/02/2015,
CSSF,2/03/2015,
CSSF,9/03/2015,
CSSF,16/03/2015,
CSSF,23/03/2015,
MB,4/12/2014,1.1
MB,8/12/2014,2.3
MB,15/12/2014,3.4
MB,22/12/2014,2.7
MB,5/01/2015,1.9
MB,12/01/2015,1.5
MB,19/01/2015,2.0
MB,27/01/2015,1.1
MB,2/02/2015,2.6
MB,9/02/2015,1.5
MB,16/02/2015,1.9
MB,23/02/2015,2.4
MB,2/03/2015,4.3
MB,9/03/2015,1.7
MB,16/03/2015,1.8
MB,23/03/2015,1.8
NH3,4/12/2014,
NH3,8/12/2014,
NH3,15/12/2014,
NH3,22/12/2014,
NH3,5/01/2015,
NH3,12/01/2015,
NH3,19/01/2015,
NH3,27/01/2015,
NH3,2/02/2015,
NH3,9/02/2015,
NH3,16/02/2015,
NH3,23/02/2015,
NH3,2/03/2015,
NH3,9/03/2015,
NH3,16/03/2015,
NH3,23/03/2015,
WSS4,4/12/2014,1.1
WSS4,8/12/2014,2.0
WSS4,15/12/2014,1.4
WSS4,22/12/2014,2.6
WSS4,5/01/2015,1.1
WSS4,12/01/2015,1.3
WSS4,19/01/2015,1.0
WSS4,27/01/2015,1.0
WSS4,2/02/2015,1.6
WSS4,9/02/2015,1.2
WSS4,16/02/2015,1.5
WSS4,23/02/2015,2.4
WSS4,2/03/2015,1.7
WSS4,9/03/2015,1.5
WSS4,16/03/2015,2.0
WSS4,23/03/2015,3.2
WSS4-Bot,4/12/2014,
WSS4-Bot,8/12/2014,
WSS4-Bot,15/12/2014,
WSS4-Bot,22/12/2014,
WSS4-Bot,5/01/2015,
WSS4-Bot,12/01/2015,
WSS4-Bot,19/01/2015,
WSS4-Bot,27/01/2015,
WSS4-Bot,2/02/2015,
WSS4-Bot,9/02/2015,
WSS4-Bot,16/02/2015,
WSS4-Bot,23/02/2015,
WSS4-Bot,2/03/2015,
WSS4-Bot,9/03/2015,
WSS4-Bot,16/03/2015,
WSS4-Bot,23/03/2015,
WSS4-Top,4/12/2014,
WSS4-Top,8/12/2014,
WSS4-Top,15/12/2014,
WSS4-Top,22/12/2014,
WSS4-Top,5/01/2015,
WSS4-Top,12/01/2015,
WSS4-Top,19/01/2015,
WSS4-Top,27/01/2015,
WSS4-Top,2/02/2015,
WSS4-Top,9/02/2015,
WSS4-Top,16/02/2015,
WSS4-Top,23/02/2015,
WSS4-Top,2/03/2015,
WSS4-Top,9/03/2015,
WSS4-Top,16/03/2015,
WSS4-Top,23/03/2015,
WSSB,4/12/2014,
WSSB,8/12/2014,
WSSB,15/12/2014,
WSSB,22/12/2014,
WSSB,5/01/2015,
WSSB,12/01/2015,
WSSB,19/01/2015,
WSSB,27/01/2015,
WSSB,2/02/2015,
WSSB,9/02/2015,
WSSB,16/02/2015,
WSSB,23/02/2015,
WSSB,2/03/2015,
WSSB,9/03/2015,
WSSB,16/03/2015,
WSSB,23/03/2015,
