field_1,field_2,field_3
"6345","0","0"
"6346","0","0"
"6347","67","67"
"6348","0","0"
"6349","20","20"
"6350","0","0"
"6351","0","0"
"6352","0","0"
"6353","0","0"
"6354","12","12"
"6355","3","3"
"6356","0","0"
"6357","5","5"
"6358","5","5"
"6359","0","0"
"6360","0","0"
"6361","0","0"
"6362","6","5"
"6363","54","56"
"6364","39","34"
"6365","0","0"
"6366","20","21"
"6367","62","64"
"6368","45","42"
"6369","0","0"
"6370","61","61"
"6371","10","8"
"6372","76","79"
"6373","47","47"
"6374","28","29"
"6375","9","7"
"6376","27","24"
"6377","0","0"
"6378","20158","19423"
"6381","122","116"
"6382","592","344"
"6385","50","39"
"6386","243","240"
"6387","3218","2897"
"6388","1897","1166"
"6389","61","54"
"6390","145","133"
"6391","504","539"
"6392","0","0"
"6401","140907","142139"
"6405","63383","64759"
"6911","0","0"
"6912","1018","1018"
"6913","0","0"
"6914","0","0"
"6915","0","0"
"6916","199","199"
"6917","0","0"
"6918","0","0"
"6919","0","0"
"6920","0","0"
"6921","0","0"
"6922","0","0"
"6923","0","0"
"6924","1307","1307"
"6925","635","635"
"6926","0","0"
"6927","0","0"
"6928","0","0"
"6929","19","19"
"6930","113","113"
"6931","24","24"
"6932","32","32"
"6933","0","0"
"6934","0","0"
"6935","0","0"
"6936","0","0"
"6937","210","210"
"6938","47","47"
"6939","0","0"
"6940","75","75"
"6941","0","0"
"6942","0","0"
"6943","0","0"
"6944","0","0"
"6945","0","0"
"6946","0","0"
"6947","6","6"
"6948","47","47"
"6949","0","0"
"6950","13","13"
"6951","0","0"
"6952","161","161"
"6953","0","0"
"6954","0","0"
"6955","8","8"
"6956","63","62"
"6957","0","0"
"6958","5","4"
"6959","0","0"
"6960","8","8"
"6961","0","0"
"6962","0","0"
"6963","8","8"
"6964","136","136"
"6965","0","0"
"6966","29","29"
"6967","0","0"
"6968","0","0"
"6969","0","0"
"6970","25","25"
"6971","0","0"
"6972","0","0"
"6973","0","0"
"6974","21","22"
"6975","0","0"
"6976","0","0"
"6977","14","13"
"6978","25","23"
"6979","0","0"
"6980","0","0"
"6981","67","68"
"6982","43","46"
"6983","47","48"
"6984","22","23"
"6985","17","18"
"6986","19","19"
"6987","0","0"
"6988","0","0"
"6989","0","0"
"6990","29","30"
"6991","31","24"
"6992","141","140"
"6993","384","414"
"6994","0","0"
"6995","7","3"
"6996","211","222"
"6997","105","86"
"6998","0","0"
"6999","7","4"
"7000","73","74"
"7001","239","256"
"7002","0","0"
"7003","4","2"
"7004","1","0"
"7005","73","71"
"7006","93","83"
"7007","51273","51891"
"7011","0","0"
"7012","13461","13606"
"7013","105248","110221"
"7015","0","0"
"7016","218","151"
"7017","28111","29581"
"7019","0","0"
"7020","6","0"
"7021","17","6"
"7022","56923","60639"
"7525","0","0"
"7526","100","100"
"7527","375","375"
"7528","0","0"
"7529","0","0"
"7530","0","0"
"7531","86","86"
"7532","244","244"
"7533","0","0"
"7534","0","0"
"7535","164","164"
"7536","0","0"
"7537","0","0"
"7538","0","0"
"7539","1116","1116"
"7540","370","370"
"7541","0","0"
"7542","0","0"
"7543","4","4"
"7544","0","0"
"7545","0","0"
"7546","0","0"
"7547","7","7"
"7548","0","0"
"7549","0","0"
"7550","0","0"
"7551","0","0"
"7552","0","0"
"7553","0","0"
"7554","0","0"
"7555","31","31"
"7556","19","19"
"7557","6","6"
"7558","0","0"
"7559","0","0"
"7560","0","0"
"7561","3","3"
"7562","7","7"
"7563","0","0"
"7564","6","6"
"7565","0","0"
"7566","0","0"
"7567","0","0"
"7568","0","0"
"7569","2","2"
"7570","0","0"
"7571","7","7"
"7572","0","0"
"7573","0","0"
"7574","36","36"
"7575","0","0"
"7576","0","0"
"7577","14","14"
"7578","0","0"
"7579","152","152"
"7580","20","20"
"7581","0","0"
"7582","0","0"
"7583","0","0"
"7584","13","13"
"7585","0","0"
"7586","0","0"
"7587","0","0"
"7588","0","0"
"7589","2","2"
"7590","0","0"
"7591","0","0"
"7592","20","21"
"7593","13","13"
"7594","23","23"
"7595","0","0"
"7596","22","23"
"7597","25","25"
"7598","13","13"
"7599","0","0"
"7600","0","0"
"7601","0","0"
"7602","24","24"
"7603","1","1"
"7604","0","0"
"7605","9","7"
"7606","19","17"
"7607","0","0"
"7608","501","512"
"7609","0","0"
"7610","3","2"
"7611","10","8"
"7612","0","0"
"7613","51","52"
"7614","0","0"
"7615","114","116"
"7616","0","0"
"7617","22","22"
"7618","0","0"
"7619","77","77"
"7620","0","0"
"7621","0","0"
"7622","32","17"
"7623","265","248"
"7624","20134","21587"
"7625","0","0"
"7626","0","0"
"7627","307","338"
"7628","7916","8606"
"7629","0","0"
"7630","0","0"
"7631","731","750"
"7632","0","0"
"7633","0","0"
"7634","0","0"
"7635","348","364"
"7636","0","0"
"7645","47267","51364"
"7649","24119","26358"
"8139","0","0"
"8140","0","0"
"8141","955","955"
"8142","710","710"
"8143","0","0"
"8144","0","0"
"8145","0","0"
"8146","330","331"
"8147","0","0"
"8148","0","0"
"8149","40","40"
"8150","652","652"
"8151","0","0"
"8152","0","0"
"8153","0","0"
"8154","0","0"
"8155","0","0"
"8156","0","0"
"8157","16","16"
"8158","24","24"
"8159","0","0"
"8160","0","0"
"8161","0","0"
"8162","0","0"
"8163","0","0"
"8164","11","11"
"8165","0","0"
"8166","0","0"
"8167","0","0"
"8168","0","0"
"8169","0","0"
"8170","0","0"
"8171","0","0"
"8172","5","5"
"8173","0","0"
"8174","0","0"
"8175","0","0"
"8176","0","0"
"8177","5","5"
"8178","1","1"
"8179","0","0"
"8180","0","0"
"8181","0","0"
"8182","0","0"
"8183","0","0"
"8184","0","0"
"8185","0","0"
"8186","0","0"
"8187","0","0"
"8188","0","0"
"8189","0","0"
"8190","24","24"
"8191","6","6"
"8192","0","0"
"8193","0","0"
"8194","11","11"
"8195","0","0"
"8196","0","0"
"8197","8","8"
"8198","0","0"
"8199","0","0"
"8200","0","0"
"8201","0","0"
"8202","0","0"
"8203","32","32"
"8204","0","0"
"8205","0","0"
"8206","0","0"
"8207","0","0"
"8208","0","0"
"8209","0","0"
"8210","0","0"
"8211","0","0"
"8212","0","0"
"8213","0","0"
"8214","0","0"
"8215","219","219"
"8216","202","202"
"8217","0","0"
"8218","684","684"
"8219","31","32"
"8220","0","0"
"8221","0","0"
"8222","165","166"
"8223","18","18"
"8224","53","53"
"8225","0","0"
"8226","0","0"
"8227","0","0"
"8228","72","72"
"8229","0","0"
"8230","0","0"
"8231","0","0"
"8232","36","36"
"8233","0","0"
"8234","0","0"
"8235","146","148"
"8236","0","0"
"8237","264","279"
"8238","0","0"
"8239","134","136"
"8240","0","0"
"8241","0","0"
"8242","0","0"
"8243","1","1"
"8244","0","0"
"8245","0","0"
"8246","0","1"
"8247","0","0"
"8248","13","17"
"8249","0","0"
"8250","0","0"
"8251","12007","13357"
"8255","0","0"
"8256","61014","67693"
"8259","60","49"
"8260","30169","33252"
"8263","555","663"
"8264","16190","18380"
"8738","0","0"
"8739","0","0"
"8740","68","68"
"8741","86","86"
"8742","0","0"
"8743","0","0"
"8744","0","0"
"8745","233","233"
"8746","0","0"
"8747","0","0"
"8748","17","17"
"8749","138","138"
"8750","0","0"
"8751","0","0"
