ID,Material_ID
  1740,    81
  1741,    81
  1742,    70
  1743,    81
  1744,    70
  1745,    81
  1746,    85
  1747,    81
  1748,     1
  1749,    85
  1750,    81
  1751,     1
  1752,    70
  1753,     1
  1754,    70
  1755,    61
  1756,    61
  1757,     1
  1758,    61
  1759,    61
  1760,     1
  1761,    61
  1762,    61
  1763,    61
  1764,    80
  1765,     1
  1766,    61
  1767,    61
  1768,    61
  1769,     1
  1770,     1
  1771,     1
  1772,     1
  1773,     1
  1774,     1
  1775,     1
  1776,     1
  1777,     1
  1778,     1
  1779,     1
  1780,     1
  1781,     1
  1782,     1
  1783,     1
  1784,     1
  1785,     1
  1786,     1
  1787,     1
  1788,     1
  1789,    70
  1790,    70
  1791,    70
  1792,    80
  1793,    80
  1794,    80
  1795,    80
  1796,    80
  1797,    80
  1798,    70
  1799,    80
  1800,    70
  1801,    70
  1802,    61
  1803,    80
  1804,    80
  1805,    80
  1806,    80
  1807,    80
  1808,    80
  1809,    80
  1810,    80
  1811,    80
  1812,    80
  1813,    80
  1814,    80
  1815,    61
  1816,     1
  1817,     1
  1818,     1
  1819,     1
  1820,     1
  1821,     1
  1822,    81
  1823,    82
  1824,     1
  1825,    70
  1826,    81
  1827,    70
  1828,    81
  1829,    70
  1830,    81
  1831,    70
  1832,    81
  1833,    85
  1834,    81
  1835,    82
  1836,     1
  1837,    70
  1838,    70
  1839,     1
  1840,     1
  1841,    85
  1842,    61
  1843,    85
  1844,    61
  1845,     1
  1846,     1
  1847,     1
  1848,    61
  1849,    61
  1850,    61
  1851,    61
  1852,    80
  1853,    61
  1854,    61
  1855,    80
  1856,    80
  1857,    80
  1858,    61
  1859,     1
  1860,     1
  1861,     1
  1862,     1
  1863,     1
  1864,     1
  1865,     1
  1866,     1
  1867,     1
  1868,     1
  1869,     1
  1870,     1
  1871,     1
  1872,     1
  1873,     1
  1874,     1
  1875,     1
  1876,     1
  1877,     1
  1878,     1
  1879,     1
  1880,     1
  1881,     1
  1882,     1
  1883,    70
  1884,    70
  1885,    80
  1886,    80
  1887,    80
  1888,    80
  1889,    80
  1890,    80
  1891,    61
  1892,    80
  1893,    70
  1894,    70
  1895,    61
  1896,    70
  1897,    61
  1898,    80
  1899,    80
  1900,    80
  1901,    80
  1902,    80
  1903,    80
  1904,    80
  1905,    80
  1906,    80
  1907,    80
  1908,    80
  1909,    80
  1910,    80
  1911,    80
  1912,    80
  1913,     1
  1914,    61
  1915,    61
  1916,     1
  1917,    80
  1918,    80
  1919,    82
  1920,     1
  1921,    70
  1922,    81
  1923,    80
  1924,     1
  1925,    80
  1926,    81
  1927,    80
  1928,    81
  1929,    82
  1930,    82
  1931,     1
  1932,     1
  1933,    70
  1934,    80
  1935,    80
  1936,    70
  1937,    80
  1938,     1
  1939,    85
  1940,    61
  1941,    70
  1942,    85
  1943,     1
  1944,    85
  1945,    70
  1946,    61
  1947,    61
  1948,    80
  1949,    80
  1950,     1
  1951,    61
  1952,    61
  1953,    85
  1954,    61
  1955,    61
  1956,    61
  1957,    80
  1958,    61
  1959,    80
  1960,     1
  1961,     1
  1962,     1
  1963,     1
  1964,     1
  1965,     1
  1966,     1
  1967,     1
  1968,     1
  1969,     1
  1970,     1
  1971,     1
  1972,     1
  1973,     1
  1974,     1
  1975,     1
  1976,    70
  1977,    61
  1978,    80
  1979,    80
  1980,    80
  1981,    80
  1982,    80
  1983,    80
  1984,    80
  1985,    61
  1986,    80
  1987,    61
  1988,    61
  1989,    61
  1990,    61
  1991,    61
  1992,    80
  1993,    80
  1994,    80
  1995,    80
  1996,     1
  1997,    80
  1998,    80
  1999,    80
  2000,    80
  2001,    80
  2002,    80
  2003,    80
  2004,    80
  2005,    80
  2006,    80
  2007,    80
  2008,    80
  2009,    61
  2010,    80
  2011,     1
  2012,    80
  2013,    61
  2014,    61
  2015,     1
  2016,     1
  2017,    80
  2018,    80
  2019,    80
  2020,     1
  2021,    80
  2022,    81
  2023,    80
  2024,    81
  2025,    82
  2026,    82
  2027,     1
  2028,     1
  2029,     1
  2030,    80
  2031,    80
  2032,    80
  2033,    80
  2034,    85
  2035,    85
  2036,    85
  2037,    85
  2038,    85
  2039,    61
  2040,    61
  2041,    61
  2042,    85
  2043,    80
  2044,     1
  2045,    80
  2046,    80
  2047,    80
  2048,    80
  2049,    61
  2050,     1
  2051,    61
  2052,     1
  2053,    61
  2054,    61
  2055,    61
  2056,    61
  2057,    61
  2058,     1
  2059,     1
  2060,     1
  2061,     1
  2062,     1
  2063,     1
  2064,     1
  2065,     1
  2066,     1
  2067,    61
  2068,    61
  2069,    80
  2070,    80
  2071,    80
  2072,    80
  2073,    80
  2074,    80
  2075,    80
  2076,    80
  2077,    61
  2078,    61
  2079,    61
  2080,    61
  2081,    80
  2082,    61
  2083,    80
  2084,    80
  2085,    80
  2086,     1
  2087,     1
  2088,     1
  2089,    80
  2090,    80
  2091,    80
  2092,    80
  2093,    80
  2094,    80
  2095,    80
  2096,    80
  2097,    80
  2098,    80
  2099,    80
  2100,    80
  2101,    80
  2102,    80
  2103,    80
  2104,    61
  2105,    80
  2106,    61
  2107,    80
  2108,    80
  2109,    61
  2110,     1
  2111,    61
