Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
736603.0000, NaN, NaN,1554.6700, NaN, NaN, NaN,20.0000,4.6000,18.0000,7.5400,
736634.0000,24000.0000, NaN,1547.6400, NaN, NaN, NaN,13.0000,6.5000,54.0000,7.6900,
736664.0000, NaN, NaN,1471.7800, NaN, NaN, NaN,13.0000,8.2000,50.0000,7.6200,
736695.0000, NaN, NaN,1438.6600, NaN, NaN, NaN,18.0000,11.0000,47.0000,7.6000,
736726.0000,24000.0000, NaN,1374.8200,0.0000, NaN,700.0000,9.0000,6.2000,10.0000,7.7100,
736754.0000, NaN, NaN,1438.2600, NaN, NaN, NaN,13.0000,6.5000, NaN,7.7400,
736785.0000, NaN, NaN,1547.4900, NaN, NaN, NaN,11.0000,6.3000, NaN,7.7000,
736815.0000,24000.0000, NaN,1480.6700, NaN, NaN, NaN,17.0000,9.7000, NaN,7.7400,
736846.0000, NaN, NaN,1586.7000, NaN, NaN, NaN,19.0000,7.6000, NaN,7.5500,
736876.0000, NaN, NaN,1466.6000, NaN, NaN, NaN,8.6000,5.5000, NaN,7.6700,
736907.0000,24000.0000, NaN,2001.8200,0.0000, NaN,630.0000,12.0000,5.5000,20.0000,7.7000,
736938.0000, NaN, NaN,1658.2800, NaN, NaN, NaN,16.0000,7.9000, NaN,7.3700,
736968.0000, NaN, NaN,1525.4500, NaN, NaN, NaN,21.0000,10.0000,148.0000,7.5300,
736999.0000,20000.0000, NaN,1628.5900, NaN, NaN, NaN,11.0000,5.8000,51.0000,7.8200,
737029.0000, NaN, NaN,1490.7800, NaN, NaN, NaN,13.0000,5.5000,131.0000,7.7100,
737060.0000, NaN, NaN,1222.5600, NaN, NaN, NaN,11.0000,1.8000, NaN,7.8500,
737091.0000,3800.0000, NaN,1047.3500,0.0000, NaN,570.0000,15.0000,7.7000,20.0000,7.6800,
737119.0000, NaN, NaN,1656.9100, NaN, NaN, NaN,9.7000,6.8000, NaN,7.5800,
737150.0000, NaN, NaN,1828.0900, NaN, NaN, NaN,10.0000,11.0000, NaN,7.6100,
737180.0000,24000.0000, NaN,1932.5400, NaN, NaN, NaN,3.9000,7.4000, NaN,7.8100,
737211.0000, NaN, NaN,2248.9100, NaN, NaN, NaN,23.0000,5.1000, NaN,7.7800,
737241.0000, NaN, NaN,1762.9700, NaN, NaN, NaN,9.2000,7.0000, NaN,7.7000,
737272.0000,24000.0000, NaN,2002.7100,5.0000, NaN,690.0000,13.0000,7.3000,25.0000,7.6400,
737303.0000, NaN, NaN,2117.9900, NaN, NaN, NaN,12.0000,0.5500, NaN,7.4400,
737333.0000, NaN, NaN,1821.4300, NaN, NaN, NaN,12.0000,4.2000, NaN,7.7000,
737364.0000,17000.0000, NaN,1781.8600, NaN, NaN, NaN,14.0000,5.3000,9.2000,7.4500,
737394.0000, NaN, NaN,1721.8000, NaN, NaN, NaN,19.0000,8.6000, NaN,7.4700,
737425.0000, NaN, NaN,1686.9700, NaN, NaN, NaN,15.0000,4.6000, NaN,7.7500,
737456.0000,9800.0000, NaN,1646.5800,5.0000, NaN,750.0000,16.0000,7.4000,10.0000,7.5400,
737484.0000, NaN, NaN,1599.4500, NaN, NaN, NaN,12.0000,2.5000, NaN,7.9900,
737515.0000, NaN, NaN,1824.6900, NaN, NaN, NaN,10.0000,4.8000, NaN,7.8400,
737545.0000,24000.0000, NaN,1698.7700, NaN, NaN, NaN,15.0000,7.2000, NaN,7.9400,
737576.0000, NaN, NaN,1750.5300, NaN, NaN, NaN,16.0000,7.6000, NaN,7.5800,
737606.0000, NaN, NaN,1748.6000, NaN, NaN, NaN,12.0000,5.6000, NaN,7.8500,
737637.0000,10000.0000, NaN,1762.9900,2.5000, NaN,610.0000,14.0000,7.0000,15.0000,7.8400,
737668.0000, NaN, NaN,1848.7000, NaN, NaN, NaN,14.0000,5.7000, NaN,7.5400,
737698.0000, NaN, NaN,1742.7000, NaN, NaN, NaN,15.0000,5.8000, NaN,7.5900,
737729.0000,4600.0000, NaN,1968.3100, NaN, NaN, NaN,14.0000,8.9000, NaN,7.6700,
737759.0000, NaN, NaN,1677.1500, NaN, NaN, NaN,12.0000,7.0000, NaN,7.7200,
737790.0000, NaN, NaN,1614.7900, NaN, NaN, NaN,14.0000,2.9000, NaN,7.5700,
737821.0000,24000.0000, NaN,1684.7100,2.5000, NaN,650.0000,12.0000,5.3000,2.5000,7.7600,
737850.0000, NaN, NaN,1838.0200, NaN, NaN, NaN,11.0000,7.3000, NaN,7.9700,
737881.0000, NaN, NaN,1934.7900, NaN, NaN, NaN,20.0000,6.2000, NaN,7.6400,
737911.0000,2000.0000, NaN,1690.9300, NaN, NaN, NaN,11.0000,6.4000, NaN,7.7400,
737942.0000, NaN, NaN,1785.6600, NaN, NaN, NaN,13.0000,5.7000, NaN,7.7300,
737972.0000, NaN, NaN,1770.9000, NaN, NaN, NaN,11.0000,6.4000, NaN,7.6400,
738003.0000,24000.0000, NaN,1943.5600,5.0000, NaN,650.0000,17.0000,2.6000,20.0000,7.6600,
738034.0000, NaN, NaN,1771.0800, NaN, NaN, NaN,12.0000,4.1000, NaN,7.4200,
738064.0000, NaN, NaN,1745.2800, NaN, NaN, NaN,20.0000,7.6000, NaN,7.5900,
738095.0000,3900.0000, NaN,1763.3700, NaN, NaN, NaN,12.0000,5.4000, NaN,7.7300,
738125.0000, NaN, NaN,1801.6700, NaN, NaN, NaN,17.0000,4.0000, NaN,7.6500,
738156.0000,4600000.0000, NaN,1837.1200, NaN, NaN, NaN,12.0000,6.6000, NaN,8.0100,
738187.0000,7300.0000, NaN,1771.2200,6.0000, NaN,730.0000,12.0000,8.3000,5.0000,7.7700,
738215.0000, NaN, NaN,1745.9200, NaN, NaN, NaN,12.0000,9.3000, NaN,7.6400,
738246.0000, NaN, NaN,1830.9500, NaN, NaN, NaN,9.2000,7.9000, NaN,7.4400,
738276.0000,1900.0000, NaN,1783.4900, NaN, NaN, NaN,10.0000,9.5000, NaN,7.9100,
738307.0000, NaN, NaN,1918.2100, NaN, NaN, NaN,12.0000,6.1000, NaN,7.6800,
738337.0000, NaN, NaN,1942.4400, NaN, NaN, NaN,13.0000,4.1000, NaN,7.5700,
